CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;FF03_CP;FF03;F_KNOWN;F_EMOTION;F_VALENZ;F_AROUSAL;ID02;ID02s;PID;IV02_02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
494;;;Puls_Stimuli;interview;06.03.2020 11:22;0;4213;;;;;;hjd;hjd;;3;;142;;;;;;;;0;;06.03.2020 11:24;0;0;3;3;0;0;;100
506;;505;Puls_Fragebogen;interview;06.03.2020 14:06;;;;;;;;;mdkd;1;;2;;;;;;;;;2;;06.03.2020 14:06;0;0;2;2;;;3;500
510;;;Puls_Stimuli;interview;06.03.2020 14:51;0;3241;;;;;;m1110;m1110;;327;;129;120;131;86;128;70;126;101;0;;06.03.2020 15:12;1;0;10;10;0;0;;100
513;;507;Puls_Fragebogen;interview;06.03.2020 14:59;;;2;5;73;29;;;m1110;1;;2;79;;;;;;;;81;;06.03.2020 15:01;1;0;3;3;0;0;1,87;250
514;;507;Puls_Fragebogen;interview;06.03.2020 15:01;;;2;5;67;2;;;m1110;2;;162;60;;;;;;;;222;;06.03.2020 15:04;1;0;3;3;0;0;0,96;0
515;;507;Puls_Fragebogen;interview;06.03.2020 15:04;;;2;;56;1;;;m1110;3;;153;53;;;;;;;;206;;06.03.2020 15:08;1;0;3;3;0;0;1,06;3
516;;507;Puls_Fragebogen;interview;06.03.2020 15:08;;;1;5;60;1;;;m1110;4;;144;26;;;;;;;;170;;06.03.2020 15:11;1;0;3;3;0;0;1,67;33
523;;;Puls_Stimuli;interview;06.03.2020 15:24;0;2143;;;;;;dfdfdf;dfdfdf;;4;;;;;;;;;;0;;06.03.2020 15:24;0;0;1;1;0;0;;100
524;;;Puls_Stimuli;interview;06.03.2020 15:24;0;2143;;;;;;dd;dd;;2;;;;;;;;;;0;;06.03.2020 15:24;0;0;1;1;0;0;;100
528;;;Puls_Stimuli;interview;06.03.2020 15:39;0;1243;;;;;;j0405;j0405;;11;;;;;;;;;;0;;06.03.2020 15:39;0;0;1;1;0;0;;100
529;;;Puls_Stimuli;interview;06.03.2020 15:39;0;1423;;;;;;j0405;j0405;;71;;125;130;127;96;130;97;128;5;0;;06.03.2020 15:54;1;0;10;10;0;0;;100
535;;534;Puls_Fragebogen;interview;06.03.2020 15:43;;;2;;92;12;;;j0405;1;;2;37;;;;;;;;39;;06.03.2020 15:44;1;0;3;3;0;0;2,3;265
538;;534;Puls_Fragebogen;interview;06.03.2020 15:44;;;2;5;81;9;;;j0405;2;;200;27;;;;;;;;227;;06.03.2020 15:47;1;0;3;3;0;0;1,48;30
539;;534;Puls_Fragebogen;interview;06.03.2020 15:47;;;2;5;78;4;;;j0405;3;;200;22;;;;;;;;222;;06.03.2020 15:51;1;0;3;3;0;0;1,72;42
542;;534;Puls_Fragebogen;interview;06.03.2020 15:51;;;;;;;;;j0405;4;;203;;;;;;;;;203;;06.03.2020 15:54;0;0;2;2;;;0,75;0
555;;;Puls_Stimuli;interview;06.03.2020 17:01;0;2341;;;;;;l1803;l1803;;50;;130;162;127;95;127;92;125;;0;;06.03.2020 17:17;0;0;9;9;0;0;;100
557;;556;Puls_Fragebogen;interview;06.03.2020 17:05;;;2;5;101;80;;;l1803;1;;2;122;;;;;;;;124;;06.03.2020 17:07;1;0;3;3;0;0;1,74;250
558;;556;Puls_Fragebogen;interview;06.03.2020 17:07;;;1;5;101;91;;;l1803;2;;157;68;;;;;;;;225;;06.03.2020 17:11;1;0;3;3;0;0;0,92;0
559;;556;Puls_Fragebogen;interview;06.03.2020 17:11;;;1;3;101;101;;;l1803;3;;153;59;;;;;;;;212;;06.03.2020 17:14;1;0;3;3;0;0;1;0
560;;556;Puls_Fragebogen;interview;06.03.2020 17:14;;;1;5;101;11;;;l1803;4;;153;89;;;;;;;;242;;06.03.2020 17:18;1;0;3;3;0;0;0,83;0
565;;564;Puls_Fragebogen;admin;11.03.2020 15:01;;;;;;;;;lkkl1221;1;;5;;;;;;;;;5;;11.03.2020 15:01;0;0;2;2;;;3;500
