"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"OLD_EGEQ01";"K101_02";"OLD_EGEQ02";"OLD_EGEQ03";"OLD_EGEQ04";"OLD_EGEQ05";"OLD_EGEQ06";"OLD_EGEQ07";"OLD_EGEQ08";"OLD_EGEQ09";"OLD_EGEQ10";"OLD_EGEQ11";"OLD_EGEQ12";"OLD_EGEQ13";"OLD_EGEQ14";"K101_16";"K101_17";"K102_01";"K102_02";"K102_03";"K102_04";"K102_05";"K102_06";"K102_07";"K102_08";"K102_09";"K102_10";"K102_11";"K102_12";"K102_13";"K102_14";"K102_15";"K102_16";"K102_17";"FG01_01";"FG02_01";"FG03_01";"FG04_01";"FG05_01";"F_VALENZ";"F_AROUSAL";"F105_01";"F106_01";"ID02";"ID02s";"ID03";"PID";"GDSPD01";"GDSPD02";"GDSPD03";"GDSPD04";"GDSPD05";"GDSPD06";"GDSPD07";"GDSPD08";"GDSPD10";"RB_UNTERHALTEN";"RB_ZEIT";"RB_INTERESSE";"RB_VERSTEHEN";"RB_VERSTANDEN";"RB_FREUNDE";"IOS_M";"IOS_F";"B109";"RB_ERFAHRUNG";"B111";"EXC_NR";"B201_01";"B201_02";"B201_03";"B201_04";"B201_05";"B201_06";"QF01";"QF02_01";"QF03_01";"QF04_01";"QF05";"QF06";"QF07";"QF08_01";"QF09";"QF10";"QF11_01";"QF12_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
730;;;"Eltern_full";"admin";2020-03-27 11:02:25;2;3;4;4;3;5;2;3;4;3;5;3;4;4;1;2;3;;;;;;;;;;;;;;;;;;85;;92;;4;;;;;4;;1;"GaSa2405";66;4;67;86;65;96;96;76;25;;;;;;;;;;;;;4;3;2;4;5;2;;;;;;;;;;;;;7;;29;;1;8;11;16;;;0;;2020-03-27 11:04:37;1;0;8;8;0;0;;100
731;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;90;95;29;4;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;1;3;1;3;;;;;;;8;;2020-03-27 11:03:10;1;0;4;4;0;0;1;4
732;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;78;89;36;3;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;2;3;1;6;;;;;;;12;;2020-03-27 11:03:22;1;0;4;4;0;0;0,71;0
733;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;44;85;44;4;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;1;4;1;4;;;;;;;10;;2020-03-27 11:03:32;1;0;4;4;0;0;0,88;0
734;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;85;77;89;4;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;2;2;1;4;;;;;;;9;;2020-03-27 11:03:41;1;0;4;4;0;0;0,88;0
735;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;83;82;93;3;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;2;5;1;4;;;;;;;9;;2020-03-27 11:03:53;1;0;4;4;0;0;0,73;0
736;;"730";"Eltern_Uebung";"admin";2020-03-27 11:03:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;68;81;90;4;;;;;;;;"GaSa2405";;;;;;;;;;;;;;;;;;;;;"6";;;;;;;;;;;;;;;;;;;2;2;1;3;;;;;;;8;;2020-03-27 11:04:01;1;0;4;4;0;0;0,96;4
737;;;"Eltern_full";"admin";2020-03-27 11:04:46;2;4;1;4;4;3;3;2;4;2;4;4;4;3;2;5;5;;;;;;;;;;;;;;;;;;86;;66;;2;;;;;5;;2;"MiSa2410";38;31;31;39;37;71;42;38;37;;;;;;;;;;;;;4;2;3;1;2;3;;;;;;;;;;;;;8;;3;;2;8;10;11;;;0;;2020-03-27 11:06:20;1;0;8;8;0;0;;100
738;;"737";"Eltern_Uebung";"admin";2020-03-27 11:04:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;31;64;40;3;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;2;3;1;3;;;;;;;9;;2020-03-27 11:05:06;1;0;4;4;0;0;0,88;4
739;;"737";"Eltern_Uebung";"admin";2020-03-27 11:05:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;44;71;26;4;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;1;2;1;5;;;;;;;9;;2020-03-27 11:05:15;1;0;4;4;0;0;0,95;0
